company,region,prefecture_eng,prefecture,city,address,website,num_sake,abv_avg,abv_count,abv_std,acidity_avg,acidity_count,acidity_std,gravity_avg,gravity_count,gravity_std,lat,lon,eng_address,distance_from_coast_deg,elevation,dist_from_coast_km,abv_med,acidity_med,gravity_med,polish_rate_med,grade_med,company_eng
あい娘酒造合資会社,Kyūshū,Nagasaki,長崎県,雲仙市,〒854-0301長崎県雲仙市愛野町甲137,,10,15.5,1,,,0,,1.0,1,,32.8206735,130.1631879,"Ainomachiko, Unzen, Nagasaki 854-0301, Japan",0.02179838677841,11.0,2.2387041246002983,15.5,,1.0,51.5,Junmai Daiginjō-shu,Aiko Sake Brewing Limited Partnership Company
かち鶴酒造株式会社,Shikoku,Ehime,愛媛県,伊予郡,〒791-2120愛媛県伊予郡砥部町宮内542番地,http://www.kachizuru.com/,9,18.55555555555556,9,1.509230856356235,,0,,0.5,8,3.854496446637726,33.7541301,132.7873979,"542 Miyauchi, Tobe, Iyo District, Ehime 791-2120, Japan",0.0903221561282633,64.0,9.23432669238733,19.5,,-1.0,,Junmai Ginjō-shu,"Kachitsuru Sake Brewery Co., Ltd."
はざま酒造株式会社,Chūbu,Gifu,岐阜県,中津川市,〒508-0041岐阜県中津川市本町4丁目1番51号,http://enasan.jp/,5,16.0,5,0.0,,0,,,0,,35.493917,137.5011954,"4-chōme-1-51 Honmachi, Nakatsugawa, Gifu 508-0041, Japan",0.7206263356297238,309.0,72.97245601306501,16.0,,,50.0,Junmai Daiginjō-shu,"Hazama Sake Brewery Co., Ltd."
ぶんご銘醸株式会社,Kyūshū,Ōita,大分県,佐伯市,〒879-3105大分県佐伯市直川大字横川字亀の甲789番地4,http://www.bungomeijyo.co.jp/,3,,0,,,0,,,0,,32.8881302,131.7307828,"Naokawa Oaza Yokogawa, Saiki, Oita 879-3105, Japan",0.1843334252175719,287.0,18.9200864170218,,,,,Junmai Ginjō-shu,"Bungo Meijo Co., Ltd."
ほまれ酒造株式会社,Tōhoku,Fukushima,福島県,喜多方市,〒966-0902福島県喜多方市松山町村松常盤町2706,http://www.aizuhomare.jp/,25,15.68,25,1.2819256348686272,1.4708333333333332,24,0.2146365313261239,0.42,25,5.9994444187218985,37.6750549,139.8730227,"Tokiwachō-2706 Matsuyamamachi Muramatsu, Kitakata, Fukushima 966-0902, Japan",0.6518506295646592,237.0,65.28554774924794,15.0,1.4,3.0,59.0,Junmai Daiginjō-shu,"Homare Sake Brewery Co., Ltd."
キング醸造株式会社,Kansai,Hyōgo,兵庫県,加古郡,〒675-1192兵庫県加古郡稲美町蛸草321,https://hinode-mirin.co.jp/,12,13.75,12,0.9653072991634228,,0,,,0,,34.7534674,134.9330226,"321 Takokusa, Inami, Kako District, Hyogo 675-1116, Japan",0.0764083507684075,58.0,7.774402296336794,13.0,,,65.0,Tokubetsu Junmai-shu,"King Brewing Co., Ltd."
キンシ正宗株式会社,Kansai,Kyoto,京都府,京都市,〒612-8081京都府京都市伏見区新町11丁目337-1,http://www.kinshimasamune.com/,22,15.681818181818182,22,1.2203186015043326,1.3578947368421053,19,0.2116490530038509,2.726315789473684,19,5.077274214604959,34.9405768,135.7625571,"11-chōme-337-1 Shinmachi, Fushimi Ward, Kyoto, 612-8081, Japan",0.4289348490201364,26.0,43.57661604612338,15.5,1.3,1.0,60.0,Junmai Daiginjō-shu,"Kinshi Masamune Co., Ltd."
クンチョウ酒造株式会社,Kyūshū,Ōita,大分県,日田市,〒877-0005大分県日田市豆田町6-31,http://www.kuncho.com/,21,15.3,20,2.105131574835269,1.7441176470588236,17,0.6894024479896468,-2.4444444444444446,18,15.45095550908716,33.3288702,130.9366871,"6-31 Mamedamachi, Hita, Oita 877-0005, Japan",0.3384804131163311,88.0,34.66096750486236,15.0,1.5,2.5,65.0,Junmai Daiginjō-shu,"Kuncho Sake Brewery Co., Ltd."
ハクレイ酒造株式会社,Kansai,Kyoto,京都府,宮津市,〒626-0071京都府宮津市字由良949,https://www.hakurei.co.jp/,24,16.541666666666668,24,1.3666578295932037,,0,,,0,,35.5151248,135.283369,"949 Yura, Miyazu, Kyoto 626-0071, Japan",0.0058541896732751,6.0,0.5934957723283572,16.5,,,60.0,Junmai Daiginjō-shu,"Hakurei Sake Brewery Co., Ltd."
ヤヱガキ酒造株式会社,Kansai,Hyōgo,兵庫県,姫路市,〒679-4298兵庫県姫路市林田町六九谷681,http://www.yaegaki.co.jp/sake/,24,15.375,24,2.410349063661869,1.813043478260869,23,1.53217146792212,-3.026086956521739,23,16.523185291399265,34.9123103,134.5833051,"679-4298, Japan",0.1431988874171451,52.0,14.55720652402088,15.0,1.5,1.0,60.0,Junmai Daiginjō-shu,"Yaegaki Sake Brewery Co., Ltd."
ヨイキゲン株式会社,Chūgoku,Okayama,岡山県,総社市,〒719-1175岡山県総社市清音上中島372-1,https://yoikigen.co.jp/,14,16.73076923076923,13,1.1657505560686463,,0,,4.076923076923077,13,3.1214723679042464,34.64091550000001,133.7321367,"372-1 Kiyonekaminakashima, Soja, Okayama 719-1175, Japan",0.1136778215416147,15.0,11.57210621493836,16.5,,5.0,50.0,Daiginjō-shu,"Yoikigen Co., Ltd."
一宮酒造有限会社,Chūgoku,Shimane,島根県,大田市,〒694-0064島根県大田市大田町大田ハ271-2,http://www.ichinomiya-s.jp/,10,14.4,10,4.1486276177925525,,0,,2.0,1,,35.1946702,132.5063737,"ハ２７１ Ōdachō Ōda, Oda, Shimane 694-0064, Japan",0.0371255264180762,20.0,3.7695388281679088,16.0,,2.0,55.0,Junmai Daiginjō-shu,"Ichinomiya Sake Brewery Co., Ltd."
七ッ星醸造株式会社,Kantō,Gunma,群馬県,前橋市,〒371-0223群馬県前橋市大胡町12,http://www.kiminomatsu.co.jp/,5,16.5,5,1.4142135623730951,1.33,5,0.0974679434480896,0.7,5,1.6431676725154984,36.4173109,139.1594569,"12 Ōgomachi, Maebashi, Gunma 371-0223, Japan",0.974886432872672,160.0,98.21593596128184,15.5,1.3,1.0,65.0,Junmai Ginjō-shu,"Nanatsuboshi Jozo Co., Ltd."
万代大澤醸造株式会社,Kansai,Hyōgo,兵庫県,西宮市,〒662-0922兵庫県西宮市東町1-13-25,https://tokuwaka.storeinfo.jp/,9,19.0,3,2.6457513110645907,,0,,,0,,34.7249227,135.3424687,"1-chōme-13-25 Higashimachi, Nishinomiya, Hyogo 662-0922, Japan",0.0164570011256791,11.0,1.6748747124254302,20.0,,,,Junmai Daiginjō-shu,"Bandai Osawa Brewing Co., Ltd."
万大醸造合資会社,Chūbu,Shizuoka,静岡県,伊豆市,〒410-2403静岡県伊豆市年川34,https://izu-bandai.com/,12,16.181818181818183,11,1.6011359603844904,1.4272727272727272,11,0.2053821272209881,0.6636363636363636,11,4.128504021379349,34.9730032,138.9718226,"34 Toshigawa, Izu, Shizuoka 410-2403, Japan",0.0863387561813631,96.0,8.775214734335602,16.0,1.4,3.0,65.0,Junmai Daiginjō-shu,Mandai Brewing Joint Stock Company
