name_romaji,company,prefecture_eng,abv_avg,acidity_avg,gravity_avg,rice_polishing_rate,is_junmai,grade,lat,lon,dist_from_coast_km,elevation
Kubota Manju,朝日酒造株式会社,Niigata,15.0,1.2,2.0,35.0,1,4,37.3969668,138.7746116,16.98717254883708,35.0
Kubota Suiju,朝日酒造株式会社,Niigata,14.0,1.1,6.0,42.0,0,4,37.3969668,138.7746116,16.98717254883708,35.0
Kubota Hekiju,朝日酒造株式会社,Niigata,15.0,,,,1,4,37.3969668,138.7746116,16.98717254883708,35.0
Kubota Kouju,朝日酒造株式会社,Niigata,15.0,,,,1,3,37.3969668,138.7746116,16.98717254883708,35.0
Kubota Senju,朝日酒造株式会社,Niigata,15.0,,,,0,3,37.3969668,138.7746116,16.98717254883708,35.0
Kubota Hyakuju,朝日酒造株式会社,Niigata,15.0,,,,0,2,37.3969668,138.7746116,16.98717254883708,35.0
Kubota NamaGenshu,朝日酒造株式会社,Niigata,19.0,,,,0,3,37.3969668,138.7746116,16.98717254883708,35.0
Asahiyama Manjuhai,朝日酒造株式会社,Niigata,14.0,,,,0,4,37.3969668,138.7746116,16.98717254883708,35.0
Asahiyama Junmaishu,朝日酒造株式会社,Niigata,14.0,,,,1,1,37.3969668,138.7746116,16.98717254883708,35.0
Asahiyama Senjuhai,朝日酒造株式会社,Niigata,15.0,,,,0,2,37.3969668,138.7746116,16.98717254883708,35.0
Asahiyama Hyakujuhai,朝日酒造株式会社,Niigata,15.0,,,,0,0,37.3969668,138.7746116,16.98717254883708,35.0
AsahiyamaCup,朝日酒造株式会社,Niigata,15.0,,,,0,0,37.3969668,138.7746116,16.98717254883708,35.0
Asahiyama GinjouNamaChozoushu,朝日酒造株式会社,Niigata,13.0,,,,0,3,37.3969668,138.7746116,16.98717254883708,35.0
Asahiyama Namazake,朝日酒造株式会社,Niigata,14.0,,,,0,2,37.3969668,138.7746116,16.98717254883708,35.0
Asahiyama MasumasuHanjou,朝日酒造株式会社,Niigata,15.0,,,,0,2,37.3969668,138.7746116,16.98717254883708,35.0
Asahiyama TaruzumeKomokaburi,朝日酒造株式会社,Niigata,15.0,,,,0,2,37.3969668,138.7746116,16.98717254883708,35.0
Esshuu SakuraBiyori,朝日酒造株式会社,Niigata,13.0,,,,0,3,37.3969668,138.7746116,16.98717254883708,35.0
RokunoEsshuu,朝日酒造株式会社,Niigata,14.0,,,,0,2,37.3969668,138.7746116,16.98717254883708,35.0
GnoEsshuu,朝日酒造株式会社,Niigata,14.0,,,,1,4,37.3969668,138.7746116,16.98717254883708,35.0
SannoEsshuu,朝日酒造株式会社,Niigata,14.0,,,,1,3,37.3969668,138.7746116,16.98717254883708,35.0
NinoEsshuu,朝日酒造株式会社,Niigata,14.0,,,,0,3,37.3969668,138.7746116,16.98717254883708,35.0
IchinoEshuu,朝日酒造株式会社,Niigata,14.0,,,,0,2,37.3969668,138.7746116,16.98717254883708,35.0
Esshuu Satomomiji,朝日酒造株式会社,Niigata,14.0,,,,0,3,37.3969668,138.7746116,16.98717254883708,35.0
Esshuu Yukigeshiki,朝日酒造株式会社,Niigata,18.0,,,,0,2,37.3969668,138.7746116,16.98717254883708,35.0
KoshinoKagiroi Manju,朝日酒造株式会社,Niigata,15.0,,,,1,4,37.3969668,138.7746116,16.98717254883708,35.0
